gene	group
832	gbr.167.59	grey
833	gbr.304.9	pink
834	gbr.113.16_gbr.113.18	turquoise
835	gbr.20.91	grey
836	gbr.9.96	green
837	gbr.553.3	blue
838	gbr.11.53	grey
839	gbr.53.86	blue
840	gbr.199.15	grey
841	gbr.3.183	turquoise
842	gbr.53.19	red
843	gbr.85.21	pink
844	gbr.268.1	red
845	gbr.40.178	red
846	gbr.34.75	blue
847	gbr.235.14	grey
848	gbr.75.77	grey
849	gbr.96.50	grey
850	gbr.60.43	red
851	gbr.254.22	grey
852	gbr.145.2	blue
853	gbr.498.1	yellow
854	gbr.49.7	grey
855	gbr.124.54	red
856	gbr.28.72	magenta
857	gbr.99.95	blue
858	gbr.116.20	yellow
859	gbr.181.20	green
860	gbr.34.43_gbr.34.44	brown
861	gbr.99.73	cyan
862	gbr.19.169	red
863	gbr.47.49	grey
864	gbr.32.102	grey
865	gbr.41.68	pink
866	gbr.220.20	yellow
867	gbr.177.14	yellow
868	gbr.97.45	yellow
869	gbr.701.4	green
870	gbr.11.97	grey
871	gbr.25.215	grey
872	gbr.150.29	grey
873	gbr.29.37	green
874	gbr.464.5	red
875	gbr.205.9	blue
876	gbr.11.63	grey
877	gbr.33.69	yellow
878	gbr.286.14	brown
879	gbr.53.114	red
880	gbr.21.22	grey
881	gbr.199.3	cyan
882	gbr.101.32	yellow
883	gbr.67.6	grey
884	gbr.23.7	grey
885	gbr.220.6	turquoise
886	gbr.7.78	blue
887	gbr.428.8	grey
888	gbr.324.5	grey
889	gbr.28.30	red
890	gbr.108.17	turquoise
891	gbr.9.78	yellow
892	gbr.476.7	red
893	gbr.72.109	blue
894	gbr.25.188	green
895	gbr.3.26	grey
896	gbr.406.11	grey
897	gbr.142.24	turquoise
898	gbr.2.50	yellow
899	gbr.221.10_gbr.221.11	grey
900	gbr.81.33	grey
901	gbr.131.5	grey
902	gbr.56.103	blue
903	gbr.225.24	blue
904	gbr.64.102	brown
905	gbr.97.66	green
906	gbr.35.43	pink
907	gbr.22.7	blue
908	gbr.235.9	yellow
909	gbr.37.125	yellow
910	gbr.490.10	red
911	gbr.50.96	blue
912	gbr.49.32	turquoise
913	gbr.190.23_gbr.190.25	grey
914	gbr.110.86	grey
915	gbr.10.35	grey
916	gbr.34.6	grey
917	gbr.46.59	pink
918	gbr.27.9	grey
919	gbr.182.11	turquoise
920	gbr.69.42	grey
921	gbr.477.1	grey
922	gbr.226.26	grey
923	gbr.290.9	grey
924	gbr.141.7	green
925	gbr.5.100	tan
926	gbr.87.30_gbr.87.31	red
927	gbr.160.9	yellow
928	gbr.7.124	grey
