Sample:	Paf	Pam	Paw
gbr.226.18.t1	66.8264967	62.61673155	43.03374178
gbr.72.77.t1	11.15025156	9.966267386	7.599894562
gbr.2.183.t1	5.376927096	1.19355067	1.003550429
gbr.1.177.t1	214.6682432	371.7473093	108.8769458
gbr.1.62.t1	16.51205007	19.64252522	12.89541169
gbr.174.34.t1	49.52288364	53.05081469	42.44136512
gbr.30.8.t1	26.36701851	24.10631048	26.52176657
gbr.182.47.t1	8.222289153	9.981326248	5.840539734
gbr.178.15.t1	17.42740839	24.12906783	12.87224293
gbr.24.54.t1	149.9511011	166.4645199	130.3966911
gbr.175.19.t1	14.10699246	13.32238132	9.244504231
gbr.468.32.t1	0	0	0
gbr.245.8.t1	11.75907989	13.26970286	11.96113086
gbr.249.27.t1	22.42239618	23.45154204	20.28432162
gbr.24.37.t1	4.646874539	4.156958273	3.905390658
gbr.279.25.t1	1.642772135	1.176438036	1.42815171
gbr.108.31.t1	76.47125253	104.2284898	56.01508774
gbr.17.96.t1	15.95475572	20.72572951	6.101604247
gbr.225.54.t1	68.67950603	48.22412125	30.18431511
gbr.26.51.t1	43.50735638	47.74964093	36.74116868
gbr.149.25.t1_gbr.149.22.t1	8.149685822	9.57883236	7.615898268
gbr.723.2.t1	145.8187262	199.4137284	35.24562753
gbr.19.23.t1	10.44639507	13.73863868	8.263551886
gbr.530.10.t1	2.534728497	2.015326465	1.564484794
gbr.58.92.t1	131.3004841	141.567308	107.7740572
gbr.107.2.t1	2.243865787	4.253338804	1.31951511
gbr.204.31.t1	33.21497282	42.70704506	26.07700171
gbr.24.1.t1	13.02649959	11.32422497	8.012348767
gbr.372.11.t1	18.49091876	18.51988088	14.12355593
gbr.80.39.t1	320.3175586	341.0406361	297.0776575
gbr.222.13.t1	27.48373172	33.07810486	33.28656087
gbr.78.15.t1	3.597777757	4.187914253	1.2983043
gbr.109.29.t1	55.25264455	60.42084812	58.12793749
gbr.142.34.t1	6.766852464	4.778343244	5.700861248
gbr.143.31.t1	117.2359872	106.7882525	106.1314889
gbr.104.49.t1	56.90331792	59.69839279	29.07566562
gbr.129.19.t1	16.26488235	15.45199374	11.86815613
gbr.485.17.t1	9.245142376	8.310222439	8.138396258
gbr.40.139.t1_gbr.40.140.t1	5.724044711	7.391238135	2.873460938
gbr.450.8.t1	0	0	0
